Name,Team,Number,Position,Age,Height,Weight,College,Salary,clock in
Thabo Sefolosha,Atlanta Hawks,25,SF,32,6月7日,220,,4000000,yes
Tiago Splitter,Atlanta Hawks,11,C,31,6月11日,245,,9756250,yes
Walter Tavares,Atlanta Hawks,22,C,24,7月3日,260,,1000000,yes
Jeff Teague,Atlanta Hawks,0,PG,27,6月2日,186,Wake Forest,8000000,yes
Nicolas Batum,Charlotte Hornets,5,SG,27,6月8日,200,,13125306,yes
Troy Daniels,Charlotte Hornets,30,SG,24,6月4日,205,Virginia Commonwealth,947276,yes
Jorge Gutierrez,Charlotte Hornets,12,PG,27,6月3日,189,California,189455,yes
Tyler Hansbrough,Charlotte Hornets,50,PF,30,6月9日,250,North Carolina,947276,yes
Aaron Harrison,Charlotte Hornets,9,SG,21,6月6日,210,Kentucky,525093,yes
Spencer Hawes,Charlotte Hornets,0,PF,28,7月1日,245,Washington,6110034,yes
Al Jefferson,Charlotte Hornets,25,C,31,6月10日,289,,13500000,yes
Frank Kaminsky III,Charlotte Hornets,44,C,23,7-0,240,Wisconsin,2612520,yes
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,6月7日,232,Kentucky,6331404,yes
Jeremy Lamb,Charlotte Hornets,3,SG,24,6月5日,185,Connecticut,3034356,yes
Courtney Lee,Charlotte Hornets,1,SG,30,6月5日,200,Western Kentucky,5675000,yes
Jeremy Lin,Charlotte Hornets,7,PG,27,6月3日,200,Harvard,2139000,yes
Kemba Walker,Charlotte Hornets,15,PG,26,6月1日,184,Connecticut,12000000,yes
Marvin Williams,Charlotte Hornets,2,PF,29,6月9日,237,North Carolina,7000000,yes
Cody Zeller,Charlotte Hornets,40,C,23,7-0,240,Indiana,4204200,yes
Chris Bosh,Miami Heat,1,PF,32,6月11日,235,Georgia Tech,22192730,yes
Luol Deng,Miami Heat,9,SF,31,6月9日,220,Duke,10151612,yes
Goran Dragic,Miami Heat,7,PG,30,6月3日,190,,14783000,yes
Gerald Green,Miami Heat,14,SF,30,6月7日,205,,947276,yes
Udonis Haslem,Miami Heat,40,PF,36,6月8日,235,Florida,2854940,yes
Joe Johnson,Miami Heat,2,SF,34,6月7日,240,Arkansas,261894,yes
Tyler Johnson,Miami Heat,8,SG,24,6月4日,186,Fresno State,845059,yes
Josh McRoberts,Miami Heat,4,PF,29,6月10日,240,Duke,5543725,yes
Josh Richardson,Miami Heat,0,SG,22,6月6日,200,Tennessee,525093,yes
Amar'e Stoudemire,Miami Heat,5,PF,33,6月10日,245,,947276,yes
Dwyane Wade,Miami Heat,3,SG,34,6月4日,220,Marquette,20000000,yes
Briante Weber,Miami Heat,12,PG,23,6月2日,165,Virginia Commonwealth,,yes
Hassan Whiteside,Miami Heat,21,C,26,7-0,265,Marshall,981348,yes
Justise Winslow,Miami Heat,20,SF,20,6月7日,225,Duke,2481720,yes
Dorell Wright,Miami Heat,11,SF,30,6月9日,205,,,yes
Dewayne Dedmon,Orlando Magic,3,C,26,7-0,245,USC,947276,yes
Evan Fournier,Orlando Magic,10,SG,23,6月7日,205,,2288205,yes
Aaron Gordon,Orlando Magic,0,PF,20,6月9日,220,Arizona,4171680,yes
Mario Hezonja,Orlando Magic,23,SG,21,6月8日,218,,3741480,yes
Ersan Ilyasova,Orlando Magic,7,PF,29,6月10日,235,,7900000,yes
Brandon Jennings,Orlando Magic,55,PG,26,6月1日,169,,8344497,yes
Devyn Marble,Orlando Magic,11,SF,23,6月6日,200,Iowa,845059,yes
Shabazz Napier,Orlando Magic,13,PG,24,6月1日,175,Connecticut,1294440,yes
Andrew Nicholson,Orlando Magic,44,PF,26,6月9日,250,St. Bonaventure,2380593,yes
Victor Oladipo,Orlando Magic,5,SG,24,6月4日,210,Indiana,5192520,yes
Elfrid Payton,Orlando Magic,4,PG,22,6月4日,185,Louisiana-Lafayette,2505720,yes
Jason Smith,Orlando Magic,14,PF,30,7-0,240,Colorado State,4300000,yes
Nikola Vucevic,Orlando Magic,9,C,25,7-0,260,USC,11250000,yes
C.J. Watson,Orlando Magic,32,PG,32,6月2日,175,Tennessee,5000000,yes
Alan Anderson,Washington Wizards,6,SG,33,6月6日,220,Michigan State,4000000,yes
Bradley Beal,Washington Wizards,3,SG,22,6月5日,207,Florida,5694674,yes
Jared Dudley,Washington Wizards,1,SF,30,6月7日,225,Boston College,4375000,yes
Jarell Eddie,Washington Wizards,8,SG,24,6月7日,218,Virginia Tech,561716,yes
Drew Gooden,Washington Wizards,90,PF,34,6月10日,250,Kansas,3300000,yes
Marcin Gortat,Washington Wizards,13,C,32,6月11日,240,,11217391,yes
JJ Hickson,Washington Wizards,21,C,27,6月9日,242,North Carolina State,273038,yes
Nene Hilario,Washington Wizards,42,C,33,6月11日,250,,13000000,yes
Markieff Morris,Washington Wizards,5,PF,26,6月10日,245,Kansas,8000000,yes
Kelly Oubre Jr.,Washington Wizards,12,SF,20,6月7日,205,Kansas,1920240,yes
Otto Porter Jr.,Washington Wizards,22,SF,23,6月8日,198,Georgetown,4662960,yes
Ramon Sessions,Washington Wizards,7,PG,30,6月3日,190,Nevada,2170465,yes
Garrett Temple,Washington Wizards,17,SG,30,6月6日,195,LSU,1100602,yes
Marcus Thornton,Washington Wizards,15,SF,29,6月4日,205,LSU,200600,yes
John Wall,Washington Wizards,2,PG,25,6月4日,195,Kentucky,15851950,yes
Darrell Arthur,Denver Nuggets,0,PF,28,6月9日,235,Kansas,2814000,yes
D.J. Augustin,Denver Nuggets,12,PG,28,6-0,183,Texas,3000000,yes
Will Barton,Denver Nuggets,5,SF,25,6月6日,175,Memphis,3533333,yes
Wilson Chandler,Denver Nuggets,21,SF,29,6月8日,225,DePaul,10449438,yes
Kenneth Faried,Denver Nuggets,35,PF,26,6月8日,228,Morehead State,11235955,yes
Danilo Gallinari,Denver Nuggets,8,SF,27,6月10日,225,,14000000,yes
Gary Harris,Denver Nuggets,14,SG,21,6月4日,210,Michigan State,1584480,yes
Nikola Jokic,Denver Nuggets,15,C,21,6月10日,250,,1300000,yes
Joffrey Lauvergne,Denver Nuggets,77,C,24,6月11日,220,,1709719,yes
Mike Miller,Denver Nuggets,3,SG,36,6月8日,218,Florida,947276,yes
Emmanuel Mudiay,Denver Nuggets,0,PG,20,6月5日,200,,3102240,yes
Jameer Nelson,Denver Nuggets,1,PG,34,6-0,190,Saint Joseph's,4345000,yes
Jusuf Nurkic,Denver Nuggets,23,C,21,7-0,280,,1842000,yes
JaKarr Sampson,Denver Nuggets,9,SG,23,6月9日,214,St. John's,258489,yes
Axel Toupane,Denver Nuggets,6,SG,23,6月7日,210,,,yes
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,6月10日,240,,3950001,yes
Gorgui Dieng,Minnesota Timberwolves,5,C,26,6月11日,241,Louisville,1474440,yes
Kevin Garnett,Minnesota Timberwolves,21,PF,40,6月11日,240,,8500000,yes
Tyus Jones,Minnesota Timberwolves,1,PG,20,6月2日,195,Duke,1282080,yes
Zach LaVine,Minnesota Timberwolves,8,PG,21,6月5日,189,UCLA,2148360,yes
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,6月6日,223,UCLA,2056920,yes
Adreian Payne,Minnesota Timberwolves,33,PF,25,6月10日,237,Michigan State,1938840,yes
Nikola Pekovic,Minnesota Timberwolves,14,C,30,6月11日,307,,12100000,yes
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,6月9日,212,Kentucky,947276,yes
Ricky Rubio,Minnesota Timberwolves,9,PG,25,6月4日,194,,12700000,yes
Damjan Rudez,Minnesota Timberwolves,10,SF,29,6月9日,230,,1149500,yes
Greg Smith,Minnesota Timberwolves,4,PF,25,6月10日,250,Fresno State,,yes
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-0,244,Kentucky,5703600,yes
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,6月8日,199,Kansas,5758680,yes
Steven Adams,Oklahoma City Thunder,12,C,22,7-0,255,Pittsburgh,2279040,yes
Nick Collison,Oklahoma City Thunder,4,PF,35,6月10日,255,Kansas,3750000,yes
Kevin Durant,Oklahoma City Thunder,35,SF,27,6月9日,240,Texas,20158622,yes
Randy Foye,Oklahoma City Thunder,6,SG,32,6月4日,213,Villanova,3135000,yes
Josh Huestis,Oklahoma City Thunder,34,SF,24,6月7日,230,Stanford,1140240,yes
Serge Ibaka,Oklahoma City Thunder,9,PF,26,6月10日,245,,12250000,yes
Enes Kanter,Oklahoma City Thunder,11,C,24,6月11日,245,Kentucky,16407500,yes
Mitch McGary,Oklahoma City Thunder,33,PF,24,6月10日,255,Michigan,1463040,yes
Nazr Mohammed,Oklahoma City Thunder,13,C,38,6月10日,250,Kentucky,222888,yes
Anthony Morrow,Oklahoma City Thunder,2,SG,30,6月5日,210,Georgia Tech,3344000,yes
Cameron Payne,Oklahoma City Thunder,22,PG,21,6月3日,185,Murray State,2021520,yes
Andre Roberson,Oklahoma City Thunder,21,SG,24,6月7日,210,Colorado,1210800,yes
Kyle Singler,Oklahoma City Thunder,5,SF,28,6月8日,228,Duke,4500000,yes
Dion Waiters,Oklahoma City Thunder,3,SG,24,6月4日,220,Syracuse,5138430,yes
Russell Westbrook,Oklahoma City Thunder,0,PG,27,6月3日,200,UCLA,16744218,yes
Cliff Alexander,Portland Trail Blazers,34,PF,20,6月8日,240,Kansas,525093,yes
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,6月9日,215,Wake Forest,8042895,yes
Pat Connaughton,Portland Trail Blazers,5,SG,23,6月5日,206,Notre Dame,625093,yes
Allen Crabbe,Portland Trail Blazers,23,SG,24,6月6日,210,California,947276,yes
Ed Davis,Portland Trail Blazers,17,C,27,6月10日,240,North Carolina,6980802,yes
Maurice Harkless,Portland Trail Blazers,4,SF,23,6月9日,215,St. John's,2894059,yes
Gerald Henderson,Portland Trail Blazers,9,SG,28,6月5日,215,Duke,6000000,yes
Chris Kaman,Portland Trail Blazers,35,C,34,7-0,265,Central Michigan,5016000,yes
Meyers Leonard,Portland Trail Blazers,11,PF,24,7月1日,245,Illinois,3075880,yes
Damian Lillard,Portland Trail Blazers,0,PG,25,6月3日,195,Weber State,4236287,yes
C.J. McCollum,Portland Trail Blazers,3,SG,24,6月4日,200,Lehigh,2525160,yes
Luis Montero,Portland Trail Blazers,44,SG,23,6月7日,185,Westchester CC,525093,yes
Mason Plumlee,Portland Trail Blazers,24,C,26,6月11日,235,Duke,1415520,yes
Brian Roberts,Portland Trail Blazers,2,PG,30,6月1日,173,Dayton,2854940,yes
Noah Vonleh,Portland Trail Blazers,21,PF,20,6月9日,240,Indiana,2637720,yes
Trevor Booker,Utah Jazz,33,PF,28,6月8日,228,Clemson,4775000,yes
Trey Burke,Utah Jazz,3,PG,23,6月1日,191,Michigan,2658240,yes
Alec Burks,Utah Jazz,10,SG,24,6月6日,214,Colorado,9463484,yes
Dante Exum,Utah Jazz,11,PG,20,6月6日,190,,3777720,yes
Derrick Favors,Utah Jazz,15,PF,24,6月10日,265,Georgia Tech,12000000,yes
Rudy Gobert,Utah Jazz,27,C,23,7月1日,245,,1175880,yes
Gordon Hayward,Utah Jazz,20,SF,26,6月8日,226,Butler,15409570,yes
Rodney Hood,Utah Jazz,5,SG,23,6月8日,206,Duke,1348440,yes
Joe Ingles,Utah Jazz,2,SF,28,6月8日,226,,2050000,yes
Chris Johnson,Utah Jazz,23,SF,26,6月6日,206,Dayton,981348,yes
Trey Lyles,Utah Jazz,41,PF,20,6月10日,234,Kentucky,2239800,yes
Shelvin Mack,Utah Jazz,8,PG,26,6月3日,203,Butler,2433333,yes
Raul Neto,Utah Jazz,25,PG,24,6月1日,179,,900000,yes
Tibor Pleiss,Utah Jazz,21,C,26,7月3日,256,,2900000,yes
Jeff Withey,Utah Jazz,24,C,26,7-0,231,Kansas,947276,yes
